date,open_prc,high_prc,low_prc,close_prc,base_prc,volume
2000-04-27,276000,285000,270000,270000,280000,1082253
2000-04-28,275000,305000,273000,300000,270000,1510624
2000-05-02,310000,326500,306000,314000,300000,1446713
2000-05-03,312000,313000,304500,309000,314000,531786
2000-05-04,311000,318000,307000,309000,309000,522021
2000-05-08,320000,335000,315000,328000,309000,1053944
2000-05-09,325000,327000,317000,318500,328000,1010990
2000-05-10,316000,319500,313500,317500,318500,552476
2000-05-12,321000,322000,308000,308000,317500,943445
2000-05-15,314500,326500,311000,322000,308000,942417
2000-05-16,325500,340000,325500,340000,322000,792495
2000-05-17,350000,367000,346000,346000,340000,1524758
2000-05-18,337000,350000,334000,340000,346000,731638
2000-05-19,337000,345000,330000,345000,340000,829049
2000-05-22,336000,341500,331000,333500,345000,727774
2000-05-23,325000,335000,317500,319000,333500,825886
2000-05-24,308000,318500,296000,310000,319000,1443050
2000-05-25,316500,319000,296500,300000,310000,1719303
2000-05-26,295000,299500,280000,280000,300000,1342077
2000-05-29,263000,284000,262000,273000,280000,1342608
2000-05-30,280000,290000,276000,290000,273000,1299038
2000-05-31,300000,314500,298000,308000,290000,1678705
2000-06-01,310000,320500,306000,315000,308000,1004689
2000-06-02,334500,345000,325500,331000,315000,1687778
2000-06-05,346000,349000,334000,337000,331000,960247
2000-06-07,330000,349000,325500,340000,337000,1067336
2000-06-08,333000,348000,326500,326500,340000,1171017
2000-06-09,330000,352000,326500,351000,326500,1277296
2000-06-12,360000,364000,351500,359500,351000,990305
2000-06-13,353000,355000,343500,353000,359500,849970
2000-06-14,361500,382000,354500,382000,353000,1260474
2000-06-15,378000,378000,350000,350000,382000,1224547
2000-06-16,345000,348000,335500,337000,350000,1329127
2000-06-19,330000,347500,327500,335000,337000,1071256
2000-06-20,347000,359000,341500,357000,335000,1195878
2000-06-21,365000,369000,353500,354000,357000,751795
2000-06-22,362000,363500,348000,352000,354000,672733
2000-06-23,349000,350500,343000,350000,352000,584323
2000-06-26,355000,368000,349500,360500,350000,799690
2000-06-27,366000,372000,359500,365500,360500,910783
2000-06-28,361000,377000,361000,376000,365500,945903
2000-06-29,380000,387000,369000,374500,376000,1222497
2000-06-30,372000,377000,364500,369000,374500,705080
2000-07-03,372000,377500,371000,375000,369000,519515
2000-07-04,380000,381000,367500,367500,375000,656229
2000-07-05,369500,376000,367500,371500,367500,497988
2000-07-06,362000,367500,359000,365000,371500,1206852
2000-07-07,367000,373000,361500,368000,365000,811625
2000-07-10,372000,381500,370500,380000,368000,850172
2000-07-11,379000,387000,372500,372500,380000,698992
2000-07-12,376000,383000,373000,382000,372500,802868
2000-07-13,385000,394000,378500,388000,382000,976116
2000-07-14,389000,392000,377000,377500,388000,608514
2000-07-18,377500,381000,372000,373000,377500,392106
2000-07-19,368000,369500,357000,360000,373000,801065
2000-07-20,353000,355500,342000,345000,360000,806380
2000-07-21,348000,352500,338000,346000,345000,967901
2000-07-24,332000,337000,318000,319000,346000,980364
2000-07-25,315500,320000,306000,314000,319000,1134767
2000-07-26,320000,329000,318000,327500,314000,1094925
2000-07-27,311000,318000,305000,311500,327500,870865
2000-07-28,290000,295500,285500,286500,311500,1660739
2000-07-31,286500,295500,277500,295000,286500,932312
2000-08-01,298000,313500,293500,311000,295000,1062466
